"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1983,7/26/1983 0:00:00,14.00,0.34,0.62,0.09,40,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,7/11/1984 0:00:00,13.00,0.32,0.61,0.09,40,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,6/26/1985 0:00:00,16.00,0.40,0.55,0.12,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1986,7/8/1986 0:00:00,77.00,1.92,2.52,0.56,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1987,8/11/1987 0:00:00,18.00,0.44,0.53,0.11,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1988,7/27/1988 0:00:00,44.00,1.10,0.71,0.16,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1989,8/16/1989 0:00:00,21.00,0.52,0.57,0.12,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,7/24/1990 0:00:00,26.00,0.64,1.00,0.22,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,7/23/1991 0:00:00,27.00,0.67,0.69,0.15,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,9/16/1992 0:00:00,22.00,0.55,0.55,0.12,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,7/14/1993 0:00:00,20.00,0.50,0.48,0.10,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,7/12/1994 0:00:00,15.00,0.37,0.42,0.09,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,8/21/1995 0:00:00,15.00,0.37,0.39,0.08,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1996,7/22/1996 0:00:00,12.00,0.50,1.02,0.29,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1997,7/7/1997 0:00:00,33.00,1.37,1.28,0.36,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,7/6/1998 0:00:00,5.00,0.20,0.39,0.11,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",1999,6/28/1999 0:00:00,14.00,0.58,0.70,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2000,6/26/2000 0:00:00,1.00,0.04,0.14,0.04,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2001,7/16/2001 0:00:00,5.00,0.20,0.33,0.09,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2002,7/22/2002 0:00:00,15.00,0.62,1.06,0.30,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,9/9/2003 0:00:00,15.00,0.62,0.60,0.17,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,7/26/2004 0:00:00,3.00,0.12,0.31,0.08,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,8/9/2005 0:00:00,8.00,0.33,0.24,0.07,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,9/11/2006 0:00:00,28.00,1.16,1.24,0.36,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,7/9/2007 0:00:00,17.00,0.70,0.65,0.18,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,9/8/2008 0:00:00,13.00,0.54,0.78,0.22,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,8/17/2009 0:00:00,15.00,0.62,0.56,0.16,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,7/26/2010 0:00:00,22.00,0.91,0.70,0.20,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,9/15/2011 0:00:00,8.00,0.33,0.57,0.16,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,7/25/2012 0:00:00,6.00,0.25,0.33,0.09,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,10/20/2013 0:00:00,9.00,0.37,0.60,0.17,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,10/1/2014 0:00:00,6.00,0.25,0.39,0.11,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2015,9/15/2015 0:00:00,4.00,0.16,0.44,0.12,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2016,8/10/2016 0:00:00,4.00,0.16,0.24,0.07,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.00,"Macrocystis pyrifera","giant kelp, adult (>1m)",2017,7/27/2017 0:00:00,16.00,0.66,0.80,0.23,12,24.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1983,7/26/1983 0:00:00,43.00,1.07,3.77,0.59,40,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1984,7/11/1984 0:00:00,39.00,0.97,1.51,0.23,40,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1985,6/26/1985 0:00:00,1.00,0.02,0.11,0.02,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1986,7/8/1986 0:00:00,96.00,2.40,2.62,0.58,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1987,8/11/1987 0:00:00,0.00,0.00,0.00,0.00,20,40.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.50,"Macrocystis pyrifera","giant kelp, juvenile (<1m)",1988,7/27/1988 0:00:00,9.00,0.22,0.37,0.08,20,40.00
