SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,SurveyDate,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,QuadratsSampled,TotalAreaSurveyed_sqm,AlternateTaxonName,SpeciesName,Life_Stage,Sex
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1983,1983-07-26,14,0.34,0.62,0.09,40,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1984,1984-07-11,13,0.32,0.61,0.09,40,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1985,1985-06-26,16,0.4,0.55,0.12,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1986,1986-07-08,77,1.92,2.52,0.56,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1987,1987-08-11,18,0.44,0.53,0.11,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1988,1988-07-27,44,1.1,0.71,0.16,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1989,1989-08-16,21,0.52,0.57,0.12,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1990,1990-07-24,26,0.64,1,0.22,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1991,1991-07-23,27,0.67,0.69,0.15,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1992,1992-09-16,22,0.55,0.55,0.12,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1993,1993-07-14,20,0.5,0.48,0.1,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1994,1994-07-12,15,0.37,0.42,0.09,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1995,1995-08-21,15,0.37,0.39,0.08,20,40,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1996,1996-07-22,12,0.5,1.02,0.29,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1997,1997-07-07,33,1.37,1.28,0.36,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1998,1998-07-06,5,0.2,0.39,0.11,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",1999,1999-06-28,14,0.58,0.7,0.2,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2000,2000-06-26,1,0.04,0.14,0.04,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2001,2001-07-16,5,0.2,0.33,0.09,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,"giant kelp, adult (>1m)",2002,2002-07-22,15,0.62,1.06,0.3,12,24,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
